Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-1,66,-9.47765082,22.62679492,0.0,FHNode065,Section-1_Node_66,0.25,0.035
Section-1,67,-12.27083333,21.25370678,0.0,FHNode066,Section-1_Node_67,0.25,0.035
Section-1,68,-14.86878834,19.53735983,0.0,FHNode067,Section-1_Node_68,0.25,0.035
Section-1,69,-17.22953408,17.50510065,0.0,FHNode068,Section-1_Node_69,0.25,0.035
Section-1,70,-19.31487282,15.18938388,0.0,FHNode069,Section-1_Node_70,0.25,0.035
Section-1,71,-21.09100893,12.62725396,0.0,FHNode070,Section-1_Node_71,0.25,0.035
Section-1,72,-22.5290965,9.85975257,0.0,FHNode071,Section-1_Node_72,0.25,0.035
Section-1,73,-23.60570782,6.9312612,0.0,FHNode072,Section-1_Node_73,0.25,0.035
Section-1,74,-24.30321497,3.88878941,0.0,FHNode073,Section-1_Node_74,0.25,0.035
Section-1,75,-24.61007838,0.78122024,0.0,FHNode074,Section-1_Node_75,0.25,0.035
Section-1,76,-24.52103755,-2.34147519,0.0,FHNode075,Section-1_Node_76,0.25,0.035
Section-1,77,-24.03720095,-5.42904125,0.0,FHNode076,Section-1_Node_77,0.25,0.035
Section-1,78,-23.16603336,-8.43174659,0.0,FHNode077,Section-1_Node_78,0.25,0.035
Section-1,79,-21.92124093,-11.30118516,0.0,FHNode078,Section-1_Node_79,0.25,0.035
Section-1,80,-20.32255565,-13.99105657,0.0,FHNode079,Section-1_Node_80,0.25,0.035
Section-1,81,-18.39542263,-16.45791312,0.0,FHNode080,Section-1_Node_81,0.25,0.035
Section-1,82,-16.17059517,-18.66186165,0.0,FHNode081,Section-1_Node_82,0.25,0.035
Section-1,83,-13.683644,-20.56720859,0.0,FHNode082,Section-1_Node_83,0.25,0.035
Section-1,84,-10.97438865,-22.14303806,0.0,FHNode083,Section-1_Node_84,0.25,0.035
Section-1,85,-8.08625984,-23.36371342,0.0,FHNode084,Section-1_Node_85,0.25,0.035
Section-1,86,-5.06560331,-24.20929434,0.0,FHNode085,Section-1_Node_86,0.25,0.035
Section-1,87,-1.96093612,-24.66586243,0.0,FHNode086,Section-1_Node_87,0.25,0.035
Section-1,88,1.17783265,-24.72575023,0.0,FHNode087,Section-1_Node_88,0.25,0.035
Section-1,89,4.30020418,-24.38766977,0.0,FHNode088,Section-1_Node_89,0.25,0.035
Section-1,90,7.35590238,-23.65673848,0.0,FHNode089,Section-1_Node_90,0.25,0.035
Section-1,91,10.29568345,-22.54440207,0.0,FHNode090,Section-1_Node_91,0.25,0.035
Section-1,92,13.07212943,-21.06825539,0.0,FHNode091,Section-1_Node_92,0.25,0.035
Section-1,93,15.64041306,-19.25176426,0.0,FHNode092,Section-1_Node_93,0.25,0.035
Section-1,94,17.95902153,-17.12389244,0.0,FHNode093,Section-1_Node_94,0.25,0.035
Section-1,95,19.99042744,-14.71863989,0.0,FHNode094,Section-1_Node_95,0.25,0.035
